qr_code,gprs_log_location
1000184,"12.926048333333334,77.689698333333340"
1000185,"12.919005000000000,77.687584999999999"
1000187,"12.974441666666667,77.693430000000006"
1000188,"12.927011666666667,77.680215000000004"
1000189,"12.919091666666667,77.687685000000002"
1000190,"12.918736666666666,77.688033333333337"
1000191,"12.919986666666667,77.690008333333338"
1000192,NULL
1000193,"12.918836666666667,77.687966666666668"
1000194,"12.920471666666666,77.691806666666665"
1000195,"12.924144999999999,77.674891666666667"
1000196,"12.919213333333333,77.687911666666665"
1000197,"12.918613333333333,77.687463333333326"
1000198,"12.919078333333,77.691203333333"
1000199,"12.920476666666667,77.691744999999997"
1000200,"12.918815000000000,77.669771666666662"
1000201,"12.919190000000000,77.687778333333327"
1000202,"12.918743333333333,77.687853333333337"
1000203,"12.918863333333332,77.687961666666666"
1000204,"12.920425000000000,77.691715000000002"
1000205,"12.941536666666666,77.701589999999996"
1000206,"12.918740000000000,77.687786666666668"
1000207,"12.918818333333334,77.687965000000005"
1000208,"12.926774999999999,77.673688333333331"
1000209,"12.919788333333333,77.689983333333331"
1000210,"12.920465000000000,77.691779999999994"
1000211,"12.917403333333333,77.696003333333337"
1000212,"12.926254999999999,77.694518333333335"
1000213,"12.919795000000001,77.689368333333334"
1000214,"12.919190000000000,77.687766666666661"
1000215,"12.918756666666667,77.688005000000004"
1000216,"12.919248333333334,77.687741666666668"
1000218,"12.918826666666666,77.687989999999999"
1000219,"12.928604999999999,77.685154999999995"
1000220,"12.924463333333334,77.689968333333340"
1000221,"12.919190000000000,77.687939999999998"
1000222,"12.918986666666667,77.687836666666669"
1000223,"12.922029999999999,77.688721666666666"
1000224,"13.072056666666667,77.525218333333328"
1000225,"12.918971666666666,77.687903333333338"
1000226,"12.932969999999999,77.682379999999995"
1000227,"12.926095000000000,77.694968333333335"
1000228,"12.919465000000001,77.685209999999998"
1000229,"12.919218333333333,77.687963333333329"
1000230,"12.918925000000000,77.687905000000001"
1000231,"12.928791666666667,77.688341666666673"
1000232,"12.919056666666666,77.687966666666668"
1000233,"12.919955000000000,77.689846666666668"
1000234,"12.919233333333333,77.687871666666666"
1000235,"12.919033333333333,77.687783333333329"
1000236,"12.919818333333334,77.689805000000007"
1000237,"12.931833333333334,77.677798333333328"
1000238,"12.919131666666667,77.687928333333332"
1000240,"12.920108333333333,77.691688333333332"
1000241,"12.918900000000001,77.687838333333332"
1000242,"12.919026666666667,77.687913333333327"
1000243,"12.922281666666667,77.662450000000007"
1000244,"12.918783333333334,77.687931666666671"
1000245,"12.918971666666666,77.688016666666670"
1000246,"12.919070000000000,77.687918333333329"
1000247,"12.943213333333333,77.691366666666667"
1000248,"12.920478333333334,77.676808333333327"
1000249,"12.918846666666667,77.687878333333330"
1000250,"12.918866666666666,77.687871666666666"
1000251,"12.928680000000000,77.684818333333340"
1000252,"12.919053333333334,77.687976666666671"
1000254,"12.918941666666667,77.687861666666663"
1000255,"12.920311666666667,77.691779999999994"
1000256,"12.918931666666667,77.687873333333329"
1000257,"12.907038333333333,77.705471666666668"
1000258,"12.926173333333333,77.690941666666660"
1000259,"12.924671666666667,77.690171666666672"
1000260,"12.918875000000000,77.688026666666673"
1000261,"12.919146666666666,77.687899999999999"
1000262,"12.918825000000000,77.687873333333329"
1000263,"12.919776666666667,77.687020000000004"
1000264,"12.929001666666666,77.684815000000000"
1000265,"12.919178333333333,77.687838333333332"
1000266,"12.918861666666666,77.687878333333330"
1000267,"12.919001666666666,77.687871666666666"
1000268,"12.918783333333334,77.688008333333329"
1000269,"12.919029999999999,77.687583333333336"
1000270,"12.918806666666667,77.687828333333329"
1000272,"12.925253333333334,77.674721666666670"
1000273,"12.918794999999999,77.688108333333332"
1000274,"12.915561666666667,77.698674999999994"
1000276,"12.925491666666666,77.686496666666670"
1000277,"12.919565000000000,77.687586666666661"
1000278,"12.919013333333334,77.687863333333340"
1000279,"12.922371666666667,77.685741666666672"
1000280,"12.974421666666666,77.693614999999994"
1000281,"12.919053333333334,77.687646666666666"
1000282,"12.918913333333334,77.687863333333340"
1000283,"12.918493333333334,77.686391666666665"
1000284,"12.924625000000001,77.694505000000007"
1000285,"12.919145000000000,77.687960000000004"
1000286,"12.919251666666666,77.687899999999999"
1000287,"12.919115000000000,77.687844999999996"
1000288,"12.919163333333334,77.687908333333340"
1000289,"12.917528333333333,77.669166666666669"
1000290,"12.919129999999999,77.687894999999997"
1000291,"12.912848333333333,77.708901666666662"
1000292,"12.919113333333334,77.687923333333330"
1000293,NULL
1000294,"12.918941666666667,77.688050000000004"
1000295,"12.932880000000001,77.682336666666671"
1000296,"12.919178333333333,77.687955000000002"
1000298,"12.919023333333334,77.687894999999997"
1000299,"12.919110000000000,77.688001666666665"
1000300,"12.919001666666666,77.687906666666663"
1000302,"12.931321666666667,77.705565000000007"
1000303,"12.918758333333333,77.687643333333327"
1000304,"12.974726666666667,77.697326666666669"
1000305,"12.919273333333333,77.687520000000006"
1000306,"12.926896666666666,77.675196666666665"
1000308,"12.943766666666667,77.690934999999996"
1000310,"12.924416666666668,77.692520000000002"
1000311,"12.918950000000001,77.687911666666665"
1000312,"12.919160000000000,77.687656666666669"
1000313,"12.919713333333334,77.689276666666672"
1000314,"12.922323333333333,77.685015000000007"
1000315,"12.919143333333333,77.687889999999996"
1000316,"12.919128333333333,77.689255000000003"
1000317,"12.933100000000000,77.683958333333337"
1000318,"12.918875000000000,77.687906666666663"
1000319,"12.918833333333334,77.687876666666668"
1000320,"12.925395000000000,77.686556666666661"
1000321,"12.919210000000000,77.687841666666671"
1000322,"12.919003333333333,77.687925000000007"
1000324,"12.918848333333333,77.687951666666663"
1000325,"12.919269999999999,77.687925000000007"
1000326,"12.928504999999999,77.684801666666672"
1000327,"12.922599999999999,77.663165000000006"
1000329,"12.919183333333333,77.687894999999997"
1000330,"12.919006666666666,77.687960000000004"
1000331,"12.919071666666667,77.687899999999999"
1000332,"12.919535000000000,77.687006666666662"
1000333,"12.919178333333333,77.687929999999994"
1000334,"12.931285000000001,77.682651666666672"
1000336,"12.918870000000000,77.687958333333327"
1000337,"12.918911666666666,77.687798333333333"
1000338,"12.918956666666666,77.687965000000005"
1000339,"12.918883333333333,77.685346666666661"
1000340,"12.920484999999999,77.691678333333329"
1000341,"12.924756666666667,77.690928333333332"
1000342,"12.919200000000000,77.687628333333336"
1000343,"12.918970000000000,77.687899999999999"
1000344,"12.936821666666667,77.686816666666672"
1000345,"12.926886666666666,77.673793333333336"
1000346,"12.918996666666667,77.685648333333333"
1000347,"12.925630000000000,77.690314999999998"
1000348,"12.924375000000000,77.691343333333336"
1000349,NULL
1000350,"12.969506666666666,77.702376666666666"
1000351,"12.919081666666667,77.687931666666671"
1000352,"12.919100000000000,77.687941666666660"
1000353,"12.943498333333334,77.691085000000001"
1000354,"12.918595000000000,77.688379999999995"
1000355,"12.919021666666668,77.688001666666665"
1000356,"12.920221666666666,77.691613333333336"
1000357,"12.918886666666667,77.687846666666672"
1000358,"12.919148333333334,77.687894999999997"
1000359,"12.920028333333333,77.686576666666667"
1000360,"12.918961666666666,77.687913333333327"
1000361,"12.918839999999999,77.688185000000004"
1000362,"12.924350000000000,77.692438333333328"
1000363,"12.919231666666667,77.688190000000006"
1000364,"12.925900000000000,77.675214999999994"
1000365,"12.919100000000000,77.687978333333334"
1000366,"12.943778333333332,77.690799999999996"
1000367,"12.919010000000000,77.687936666666673"
1000368,"12.918978333333333,77.687988333333337"
1000369,"12.919376666666667,77.687611666666669"
1000370,"12.919586666666667,77.687321666666662"
1000371,"12.918996666666667,77.688118333333335"
1000372,"12.919096666666666,77.687915000000004"
1000374,"12.925285000000001,77.672478333333331"
1000375,"12.900555000000001,77.673913333333331"
1000376,"12.919008333333334,77.687966666666668"
1000377,"12.941700000000001,77.693818333333340"
1000378,"12.918833333333334,77.687984999999998"
1000379,"12.919166666666667,77.687748333333332"
1000380,"12.918835000000000,77.687899999999999"
1000382,"12.924463333333334,77.689970000000002"
1000383,"12.918905000000001,77.687863333333340"
1000384,"12.927165000000000,77.673209999999997"
1000385,"12.926916666666667,77.665441666666666"
1000386,"12.923890000000000,77.688506666666669"
1000387,"12.918788333333334,77.687905000000001"
1000388,"12.920386666666667,77.691666666666663"
1000389,"12.926353333333333,77.676121666666660"
1000392,"12.921501666666666,77.667618333333337"
1000393,"12.919418333333333,77.687341666666669"
1000394,"12.919060000000000,77.687863333333340"
1000395,"12.924664999999999,77.691716666666665"
1000396,"12.928758333333333,77.684806666666660"
1000397,"12.930623333333333,77.676278333333329"
1000398,"12.919101666666666,77.687856666666661"
1000399,"12.922055000000000,77.663794999999993"
1000400,"12.919053333333334,77.688013333333330"
1000401,"12.920496666666667,77.691839999999999"
1000402,"12.918885000000000,77.687816666666663"
1000403,"12.918358333333334,77.685721666666666"
1000406,"12.920258333333333,77.691771666666668"
1000407,"12.919103333333334,77.687934999999996"
1000408,"12.919826666666667,77.689260000000004"
1000410,"12.927786666666666,77.673090000000002"
1000412,"12.961900000000000,77.705676666666662"
1000413,"12.914168333333333,77.670524999999998"
1000414,"12.918906666666667,77.687913333333327"
1000415,NULL
1000417,"12.935566666666666,77.708643333333328"
1000419,"12.918955000000000,77.687916666666666"
1000420,"12.929478333333334,77.674348333333327"
1000421,"12.920344999999999,77.691561666666672"
1000423,"12.939235000000000,77.688393333333337"
1000424,"12.935216666666667,77.695166666666665"
1000427,"12.918933333333333,77.687921666666668"
1000428,"12.918893333333333,77.687933333333334"
1000429,"12.924213333333334,77.674319999999994"
1000430,"12.929340000000000,77.677731666666674"
1000431,"12.929240000000000,77.684960000000004"
1000432,"12.930641666666666,77.683064999999999"
1000433,"12.924773333333333,77.685338333333334"
1000434,"12.919261666666667,77.687921666666668"
1000435,"12.933013333333333,77.678798333333333"
1000436,"12.919135000000001,77.687753333333333"
1000439,"12.944803333333333,77.680443333333329"
1000440,"12.918741666666667,77.688085000000001"
1000442,"12.919246666666666,77.687926666666669"
1000443,"12.930730000000001,77.683279999999996"
1000444,"12.929843333333332,77.675168333333332"
1000445,"12.924693333333334,77.690221666666673"
1000446,"12.924400000000000,77.694974999999999"
1000447,"12.918595000000000,77.687944999999999"
1000448,"12.938101666666666,77.698648333333338"
1000449,"12.919160000000000,77.687888333333333"
1000451,"12.935761666666666,77.694680000000005"
1000452,"12.919243333333334,77.687635000000000"
1000453,"12.919011666666666,77.687600000000003"
1000454,"12.919056666666666,77.687856666666661"
1000456,"12.919123333333333,77.687920000000005"
1000457,"12.918908333333333,77.687906666666663"
1000467,"12.943411666666666,77.691026666666673"
1000471,"12.919779999999999,77.689893333333330"
1000475,"12.918778333333334,77.687981666666673"
1000482,"12.915768333333334,77.698991666666672"
1000483,"12.919198333333334,77.687711666666672"
1000486,"12.920280000000000,77.691818333333330"
1000487,"12.918910000000000,77.687894999999997"
1000490,"12.918765000000000,77.688131666666663"
1000491,"12.918905000000001,77.687898333333337"
1000494,"12.944410000000000,77.692251666666664"
1000499,"12.919241666666666,77.687788333333330"
1000485,"19.099065000000000,72.887946666666664"
1000002,"18.523348333333335,73.730641666666671"
1000128,NULL
1000133,"18.523489999999999,73.729993333333340"
1000134,NULL
1000140,"18.519381666666668,73.944026666666673"
1000176,"18.522265000000001,73.731236666666661"
1000179,NULL
1000186,"18.523566666666667,73.731981666666670"
1000217,"18.530184999999999,73.861688333333333"
1000239,"18.522175000000001,73.732900000000001"
1000253,"18.523163333333333,73.732560000000007"
1000271,"18.523816666666665,73.731710000000007"
1000275,"18.52342,73.730563333333"
1000297,"18.523705000000000,73.731949999999998"
1000301,"18.523356666666668,73.730630000000005"
1000307,"18.525676666666666,73.733033333333339"
1000309,"18.522401666666667,73.732571666666672"
1000323,"18.523423333333334,73.732095000000001"
1000328,"18.531258333333334,73.846056666666669"
1000335,"18.528720000000000,73.862313333333333"
1000381,"18.523646666666668,73.731835000000004"
1000390,"18.519891666666666,73.730126666666663"
1000391,"18.523351666666667,73.730643333333333"
1000404,"18.521853333333333,73.732399999999998"
1000405,"18.522700000000000,73.729283333333328"
1000409,"18.519850000000002,73.730143333333331"
1000411,"18.525633333333332,73.732993333333340"
1000416,"18.525868333333332,73.732969999999995"
1000418,"18.519990000000000,73.730116666666660"
1000422,"18.523380000000000,73.730580000000003"
1000425,"18.518178333333335,73.941031666666660"
1000426,"18.519406666666665,73.939773333333335"
1000437,"18.523360000000000,73.732456666666664"
1000438,"18.529846666666668,73.849776666666671"
1000441,"18.514516666666665,73.945393333333328"
1000450,"18.522155000000001,73.730681666666669"
1000458,"18.525376666666666,73.732185000000001"
1000459,"18.519736666666667,73.939281666666673"
1000460,"18.535505000000001,73.880300000000005"
1000461,"18.523798333333332,73.731669999999994"
1000462,"18.521806666666667,73.730486666666664"
1000463,"18.518599999999999,73.939019999999999"
1000464,"18.523741666666666,73.731036666666668"
1000465,"18.522721666666666,73.732426666666669"
1000466,"18.523773333333335,73.731343333333328"
1000469,"18.518111666666666,73.940955000000002"
1000470,"18.519610000000000,73.939639999999997"
1000472,"18.518171666666667,73.940938333333335"
1000473,"18.523666666666667,73.732043333333337"
1000474,"18.522461666666668,73.732408333333339"
1000476,"18.513081666666668,73.905379999999994"
1000477,"18.522326666666668,73.732448333333338"
1000478,"18.521771666666666,73.730418333333333"
1000479,"18.525603333333333,73.732990000000001"
1000480,"18.523888333333332,73.730390000000000"
1000481,NULL
1000484,"18.525598333333335,73.732933333333335"
1000488,"18.523665000000001,73.732053333333340"
1000489,NULL
1000492,"18.524046666666667,73.732426666666669"
1000493,"18.525670000000002,73.732983333333337"
1000495,"18.522441666666666,73.732511666666667"
1000496,"18.523506666666666,73.732043333333337"
1000497,"18.529833333333332,73.861900000000006"
1000498,"18.522251666666666,73.732600000000005"
1000500,"18.523585000000001,73.732105000000004"
1000501,"18.519581666666667,73.939778333333336"
1000502,NULL
1000503,"18.521599999999999,73.730283333333333"
1000504,"18.521711666666668,73.730473333333336"
